image_path,hand_detected,num_hands,x_min,y_min,x_max,y_max,landmark_points,crop_path,review_flag,label_name,label_id,user_id
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1055.jpg,True,2,49,56,200,200,"[[116.31, 180.13], [101.41, 163.39], [91.02, 145.15], [81.11, 131.35], [69.29, 121.44], [119.85, 124.33], [129.79, 101.61], [137.22, 87.92], [144.34, 76.78], [133.38, 130.18], [147.5, 107.39], [156.98, 93.4], [165.77, 81.95], [142.67, 141.62], [160.12, 126.43], [171.02, 117.14], [179.95, 109.09], [148.19, 156.3], [164.57, 152.67], [175.25, 150.62], [184.7, 147.94]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1055.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1058 flip.jpg,True,2,0,60,148,200,"[[79.04, 184.47], [96.6, 169.85], [107.42, 149.03], [116.4, 134.12], [128.37, 124.96], [76.51, 128.62], [67.07, 106.37], [59.94, 92.69], [53.03, 80.91], [62.95, 134.39], [48.21, 111.67], [39.04, 97.6], [30.08, 86.59], [54.18, 145.63], [37.0, 130.56], [26.05, 121.06], [15.81, 113.69], [48.89, 159.92], [32.89, 155.96], [22.02, 153.27], [12.09, 150.69]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1058 flip.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1058.jpg,True,2,49,61,200,200,"[[117.61, 183.71], [103.25, 166.77], [92.94, 148.5], [82.31, 135.29], [69.91, 126.12], [122.23, 128.6], [132.59, 105.98], [139.98, 92.37], [147.1, 81.21], [135.7, 134.72], [150.23, 111.89], [159.9, 98.1], [168.94, 87.01], [144.7, 146.32], [162.43, 131.25], [173.62, 122.29], [183.17, 114.55], [149.97, 161.0], [166.77, 157.47], [177.78, 155.51], [187.69, 152.77]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1058.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1059 flip.jpg,True,2,0,63,146,200,"[[77.98, 185.99], [95.65, 172.19], [106.56, 152.31], [115.24, 137.5], [126.83, 127.66], [76.09, 131.51], [66.91, 108.68], [59.88, 95.05], [53.03, 83.55], [62.33, 137.1], [47.57, 114.22], [38.25, 100.05], [29.25, 89.23], [53.44, 148.27], [36.58, 133.83], [25.64, 124.89], [15.55, 118.08], [48.06, 162.4], [32.01, 158.72], [21.25, 156.49], [11.54, 154.4]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1059 flip.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1059.jpg,True,2,51,64,200,200,"[[117.7, 184.95], [103.22, 168.06], [93.05, 150.07], [82.92, 137.0], [71.04, 128.09], [122.41, 130.84], [133.11, 108.47], [140.69, 95.11], [147.85, 84.16], [135.72, 137.33], [150.75, 114.79], [160.4, 101.03], [169.28, 90.06], [144.55, 149.04], [162.43, 134.39], [173.91, 125.51], [183.72, 118.0], [149.56, 163.5], [166.97, 159.54], [178.26, 157.86], [188.36, 155.57]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1059.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1060.jpg,True,2,51,64,200,200,"[[118.78, 185.9], [103.88, 169.17], [93.68, 150.95], [83.43, 137.76], [71.75, 128.59], [123.19, 131.39], [133.42, 109.32], [140.84, 95.81], [147.96, 84.69], [136.68, 137.83], [151.47, 115.55], [160.9, 101.71], [169.6, 90.7], [145.65, 149.5], [163.67, 134.98], [174.97, 126.45], [184.92, 119.16], [150.61, 163.94], [167.82, 159.94], [179.18, 158.6], [189.56, 156.63]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1060.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1061 flip.jpg,True,2,0,65,146,200,"[[77.18, 187.39], [94.79, 172.94], [105.97, 152.51], [114.89, 137.54], [126.55, 127.77], [74.58, 131.97], [65.23, 109.62], [58.06, 96.52], [51.22, 85.46], [60.85, 137.77], [45.77, 115.17], [36.21, 100.84], [27.12, 89.83], [52.03, 149.05], [35.23, 134.74], [24.42, 126.24], [14.47, 120.05], [46.85, 163.31], [31.06, 159.08], [20.64, 157.03], [11.13, 155.4]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1061 flip.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1061.jpg,True,2,51,65,200,200,"[[119.52, 185.64], [104.43, 168.98], [93.99, 150.89], [83.64, 137.61], [71.88, 128.44], [123.75, 131.25], [134.12, 109.6], [141.75, 96.38], [149.04, 85.43], [137.31, 137.75], [152.28, 115.72], [161.96, 101.99], [170.92, 91.14], [146.28, 149.48], [164.1, 135.17], [175.53, 126.57], [185.68, 119.18], [151.29, 163.9], [168.29, 159.96], [179.6, 158.66], [190.0, 156.69]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1061.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1062 flip.jpg,True,2,0,64,145,200,"[[76.72, 186.7], [94.49, 172.09], [105.41, 152.11], [114.03, 137.56], [125.7, 128.08], [74.36, 132.06], [65.11, 109.26], [57.95, 95.93], [51.06, 84.82], [60.71, 137.83], [45.94, 115.39], [36.53, 101.16], [27.36, 90.08], [51.64, 148.99], [34.77, 134.9], [24.01, 126.46], [14.06, 119.95], [46.2, 162.97], [30.41, 158.79], [20.1, 156.62], [10.66, 154.8]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1062 flip.jpg,multiple_hands,A,0,unknown
/kaggle/input/bsl-fingerspelling-dataset/train/A/A1062.jpg,True,2,52,65,200,200,"[[120.18, 185.25], [104.85, 168.32], [94.6, 150.39], [84.38, 137.35], [72.44, 128.58], [124.68, 131.18], [134.97, 109.23], [142.54, 95.96], [149.75, 85.04], [138.11, 137.72], [152.98, 115.87], [162.48, 101.97], [171.22, 91.0], [147.07, 149.29], [165.02, 134.96], [176.11, 126.35], [185.97, 119.07], [152.05, 163.56], [169.14, 159.77], [180.45, 158.46], [190.77, 156.68]]",/content/BSL_Project/processed_data/hand_crops/A/crop_A1062.jpg,multiple_hands,A,0,unknown
